output,target,name
-4.879712104797363,0.0,Aoki_1108_65_100_0000_120
-2.3150634765625,0.0,Aoki_1108_65_100_0000_135
0.6849319934844971,0.0,Aoki_1108_65_100_0000_150
-1.4063432216644287,0.0,Aoki_1108_65_100_0001_120
0.8209767937660217,0.0,Aoki_1108_65_100_0001_135
0.7019844055175781,0.0,Aoki_1108_65_100_0001_150
-1.1531357765197754,0.0,Aoki_1108_65_100_0002_120
-2.411351203918457,0.0,Aoki_1108_65_100_0002_135
-5.416990756988525,0.0,Aoki_1108_65_100_0002_150
-4.891279697418213,0.0,Aoki_1108_65_100_0003_120
-8.744361877441406,0.0,Aoki_1108_65_100_0003_135
-10.771366119384766,0.0,Aoki_1108_65_100_0003_150
-11.204598426818848,0.0,Aoki_1108_65_100_0004_120
-12.744982719421387,0.0,Aoki_1108_65_100_0004_135
-8.580890655517578,0.0,Aoki_1108_65_100_0004_150
-3.6759724617004395,0.0,Aoki_1108_65_100_0100_120
3.4057881832122803,0.0,Aoki_1108_65_100_0100_135
3.857945442199707,1.0,Aoki_1108_65_100_0100_150
0.9986861348152161,0.0,Aoki_1108_65_100_0101_120
0.9312646985054016,0.0,Aoki_1108_65_100_0101_135
4.1510443687438965,1.0,Aoki_1108_65_100_0101_150
0.9560076594352722,0.0,Aoki_1108_65_100_0102_120
1.0423654317855835,0.0,Aoki_1108_65_100_0102_135
-0.3047202229499817,0.0,Aoki_1108_65_100_0102_150
-2.068281412124634,0.0,Aoki_1108_65_100_0103_120
-3.825190544128418,0.0,Aoki_1108_65_100_0103_135
-2.1638901233673096,0.0,Aoki_1108_65_100_0103_150
-4.7241740226745605,0.0,Aoki_1108_65_100_0104_120
-6.654130458831787,0.0,Aoki_1108_65_100_0104_135
-9.09903621673584,0.0,Aoki_1108_65_100_0104_150
-2.5944392681121826,0.0,Aoki_1108_65_100_0200_120
-0.7979438304901123,1.0,Aoki_1108_65_100_0200_135
3.205131769180298,1.0,Aoki_1108_65_100_0200_150
-1.1309854984283447,0.0,Aoki_1108_65_100_0201_120
0.10566829144954681,1.0,Aoki_1108_65_100_0201_135
2.707289934158325,1.0,Aoki_1108_65_100_0201_150
-7.109767913818359,0.0,Aoki_1108_65_100_0202_120
-2.3275797367095947,0.0,Aoki_1108_65_100_0202_135
6.211573600769043,1.0,Aoki_1108_65_100_0202_150
-7.910796165466309,0.0,Aoki_1108_65_100_0203_120
-0.7254778146743774,1.0,Aoki_1108_65_100_0203_135
