output,target,name
-5.208955764770508,0.0,Aoki_1108_65_100_0000_120
-4.676359176635742,0.0,Aoki_1108_65_100_0000_135
-3.9018826484680176,0.0,Aoki_1108_65_100_0000_150
-4.988681793212891,0.0,Aoki_1108_65_100_0001_120
-4.438697338104248,0.0,Aoki_1108_65_100_0001_135
-3.605602741241455,0.0,Aoki_1108_65_100_0001_150
-5.267556190490723,0.0,Aoki_1108_65_100_0002_120
-4.730406761169434,0.0,Aoki_1108_65_100_0002_135
-3.869748830795288,0.0,Aoki_1108_65_100_0002_150
-5.5247979164123535,0.0,Aoki_1108_65_100_0003_120
-5.076109886169434,0.0,Aoki_1108_65_100_0003_135
-4.407437324523926,0.0,Aoki_1108_65_100_0003_150
-5.923729419708252,0.0,Aoki_1108_65_100_0004_120
-5.681963920593262,0.0,Aoki_1108_65_100_0004_135
-5.351216793060303,0.0,Aoki_1108_65_100_0004_150
-5.082586765289307,0.0,Aoki_1108_65_100_0100_120
-4.276931285858154,0.0,Aoki_1108_65_100_0100_135
-3.2856428623199463,1.0,Aoki_1108_65_100_0100_150
-4.855979919433594,0.0,Aoki_1108_65_100_0101_120
-4.184022903442383,0.0,Aoki_1108_65_100_0101_135
-3.1259803771972656,1.0,Aoki_1108_65_100_0101_150
-4.899280548095703,0.0,Aoki_1108_65_100_0102_120
-4.102803707122803,0.0,Aoki_1108_65_100_0102_135
-3.067852020263672,0.0,Aoki_1108_65_100_0102_150
-5.140551567077637,0.0,Aoki_1108_65_100_0103_120
-4.214643955230713,0.0,Aoki_1108_65_100_0103_135
-3.2835559844970703,0.0,Aoki_1108_65_100_0103_150
-5.1208577156066895,0.0,Aoki_1108_65_100_0104_120
-4.218349456787109,0.0,Aoki_1108_65_100_0104_135
-3.2697830200195312,0.0,Aoki_1108_65_100_0104_150
-5.0763092041015625,0.0,Aoki_1108_65_100_0200_120
-4.124748229980469,1.0,Aoki_1108_65_100_0200_135
-2.9218623638153076,1.0,Aoki_1108_65_100_0200_150
-4.865314483642578,0.0,Aoki_1108_65_100_0201_120
-3.8736538887023926,1.0,Aoki_1108_65_100_0201_135
-2.698021411895752,1.0,Aoki_1108_65_100_0201_150
-4.76291561126709,0.0,Aoki_1108_65_100_0202_120
-3.129528522491455,0.0,Aoki_1108_65_100_0202_135
-1.4365127086639404,1.0,Aoki_1108_65_100_0202_150
-4.517058849334717,0.0,Aoki_1108_65_100_0203_120
-2.791358232498169,1.0,Aoki_1108_65_100_0203_135
