output,target,name
-11.766420364379883,0.0,Aoki_1108_65_100_0000_120
-9.23146915435791,0.0,Aoki_1108_65_100_0000_135
2.3493993282318115,0.0,Aoki_1108_65_100_0000_150
-9.607681274414062,0.0,Aoki_1108_65_100_0001_120
-7.65128231048584,0.0,Aoki_1108_65_100_0001_135
1.3486058712005615,0.0,Aoki_1108_65_100_0001_150
-11.818788528442383,0.0,Aoki_1108_65_100_0002_120
-8.461499214172363,0.0,Aoki_1108_65_100_0002_135
0.9294990301132202,0.0,Aoki_1108_65_100_0002_150
-12.123435974121094,0.0,Aoki_1108_65_100_0003_120
-8.879499435424805,0.0,Aoki_1108_65_100_0003_135
-1.0311124324798584,0.0,Aoki_1108_65_100_0003_150
-13.338027000427246,0.0,Aoki_1108_65_100_0004_120
-9.195333480834961,0.0,Aoki_1108_65_100_0004_135
-5.1033735275268555,0.0,Aoki_1108_65_100_0004_150
-6.975592613220215,0.0,Aoki_1108_65_100_0100_120
-3.604161024093628,0.0,Aoki_1108_65_100_0100_135
-4.392917633056641,1.0,Aoki_1108_65_100_0100_150
-6.201605796813965,0.0,Aoki_1108_65_100_0101_120
-5.004286289215088,0.0,Aoki_1108_65_100_0101_135
0.911524772644043,1.0,Aoki_1108_65_100_0101_150
-6.388535499572754,0.0,Aoki_1108_65_100_0102_120
-5.299137115478516,0.0,Aoki_1108_65_100_0102_135
-0.4604529142379761,0.0,Aoki_1108_65_100_0102_150
-10.235593795776367,0.0,Aoki_1108_65_100_0103_120
-7.306695938110352,0.0,Aoki_1108_65_100_0103_135
-3.549396514892578,0.0,Aoki_1108_65_100_0103_150
-9.430303573608398,0.0,Aoki_1108_65_100_0104_120
-8.467554092407227,0.0,Aoki_1108_65_100_0104_135
-3.6336898803710938,0.0,Aoki_1108_65_100_0104_150
-7.714895248413086,0.0,Aoki_1108_65_100_0200_120
-3.6155600547790527,1.0,Aoki_1108_65_100_0200_135
-2.372372627258301,1.0,Aoki_1108_65_100_0200_150
-6.127634048461914,0.0,Aoki_1108_65_100_0201_120
-2.881502151489258,1.0,Aoki_1108_65_100_0201_135
-3.2933714389801025,1.0,Aoki_1108_65_100_0201_150
-3.8586411476135254,0.0,Aoki_1108_65_100_0202_120
-1.697306513786316,0.0,Aoki_1108_65_100_0202_135
-1.9899882078170776,1.0,Aoki_1108_65_100_0202_150
-4.148558616638184,0.0,Aoki_1108_65_100_0203_120
-2.0600152015686035,1.0,Aoki_1108_65_100_0203_135
-2.3153069019317627,1.0,Aoki_1108_65_100_0203_150
-4.083034515380859,0.0,Aoki_1108_65_100_0204_120
-2.9897050857543945,1.0,Aoki_1108_65_100_0204_135
-1.3080030679702759,0.0,Aoki_1108_65_100_0204_150
-10.401771545410156,0.0,Aoki_1108_65_100_0300_120
-8.460582733154297,0.0,Aoki_1108_65_100_0300_135
-2.8062071800231934,1.0,Aoki_1108_65_100_0300_150
-6.997956275939941,0.0,Aoki_1108_65_100_0301_120
-5.687110900878906,1.0,Aoki_1108_65_100_0301_135
-2.7542998790740967,1.0,Aoki_1108_65_100_0301_150
-5.526699066162109,1.0,Aoki_1108_65_100_0302_120
-1.8548604249954224,1.0,Aoki_1108_65_100_0302_135
3.8286919593811035,1.0,Aoki_1108_65_100_0302_150
-3.4329917430877686,1.0,Aoki_1108_65_100_0303_120
1.498254418373108,1.0,Aoki_1108_65_100_0303_135
1.4432590007781982,1.0,Aoki_1108_65_100_0303_150
-3.366831064224243,0.0,Aoki_1108_65_100_0304_120
-1.666285753250122,0.0,Aoki_1108_65_100_0304_135
2.0547080039978027,0.0,Aoki_1108_65_100_0304_150
-9.953608512878418,0.0,Aoki_1108_65_100_0400_120
-8.488747596740723,0.0,Aoki_1108_65_100_0400_135
-3.0993669033050537,1.0,Aoki_1108_65_100_0400_150
-9.1462984085083,0.0,Aoki_1108_65_100_0401_120
-8.324418067932129,1.0,Aoki_1108_65_100_0401_135
-4.518894672393799,1.0,Aoki_1108_65_100_0401_150
-8.793850898742676,1.0,Aoki_1108_65_100_0402_120
-5.735342502593994,1.0,Aoki_1108_65_100_0402_135
-2.1354660987854004,1.0,Aoki_1108_65_100_0402_150
-3.616138219833374,0.0,Aoki_1108_65_100_0403_120
-3.758291006088257,0.0,Aoki_1108_65_100_0403_135
0.716340959072113,0.0,Aoki_1108_65_100_0403_150
-2.9035518169403076,0.0,Aoki_1108_65_100_0404_120
0.8784911632537842,0.0,Aoki_1108_65_100_0404_135
-0.5917803049087524,0.0,Aoki_1108_65_100_0404_150
-6.375901699066162,0.0,Aoki_1108_65_100_0500_120
-6.272589683532715,0.0,Aoki_1108_65_100_0500_135
-3.297616481781006,0.0,Aoki_1108_65_100_0500_150
-9.874808311462402,1.0,Aoki_1108_65_100_0501_120
-9.235974311828613,0.0,Aoki_1108_65_100_0501_135
