output,target,name
-6.075803279876709,0.0,Aoki_1108_65_100_0000_120
-5.3291850090026855,0.0,Aoki_1108_65_100_0000_135
-4.123678207397461,0.0,Aoki_1108_65_100_0000_150
-5.778284549713135,0.0,Aoki_1108_65_100_0001_120
-4.705886363983154,0.0,Aoki_1108_65_100_0001_135
-3.497452974319458,0.0,Aoki_1108_65_100_0001_150
-5.47437047958374,0.0,Aoki_1108_65_100_0002_120
-4.374627590179443,0.0,Aoki_1108_65_100_0002_135
-3.3234519958496094,0.0,Aoki_1108_65_100_0002_150
-5.077178001403809,0.0,Aoki_1108_65_100_0003_120
-3.998112440109253,0.0,Aoki_1108_65_100_0003_135
-3.2658724784851074,0.0,Aoki_1108_65_100_0003_150
-4.552322864532471,0.0,Aoki_1108_65_100_0004_120
-3.8159427642822266,0.0,Aoki_1108_65_100_0004_135
-2.9920456409454346,0.0,Aoki_1108_65_100_0004_150
-6.139005184173584,0.0,Aoki_1108_65_100_0100_120
-5.208199977874756,0.0,Aoki_1108_65_100_0100_135
-4.276038646697998,1.0,Aoki_1108_65_100_0100_150
-5.709033489227295,0.0,Aoki_1108_65_100_0101_120
-4.730472564697266,0.0,Aoki_1108_65_100_0101_135
-3.557464122772217,1.0,Aoki_1108_65_100_0101_150
-5.2269697189331055,0.0,Aoki_1108_65_100_0102_120
-4.17982816696167,0.0,Aoki_1108_65_100_0102_135
-3.069380283355713,0.0,Aoki_1108_65_100_0102_150
-4.907410144805908,0.0,Aoki_1108_65_100_0103_120
-3.8949661254882812,0.0,Aoki_1108_65_100_0103_135
-2.9009222984313965,0.0,Aoki_1108_65_100_0103_150
-4.30934476852417,0.0,Aoki_1108_65_100_0104_120
-3.432973623275757,0.0,Aoki_1108_65_100_0104_135
-2.77152419090271,0.0,Aoki_1108_65_100_0104_150
-6.052546977996826,0.0,Aoki_1108_65_100_0200_120
-5.079563140869141,1.0,Aoki_1108_65_100_0200_135
-3.9819087982177734,1.0,Aoki_1108_65_100_0200_150
-5.541304111480713,0.0,Aoki_1108_65_100_0201_120
-4.369511604309082,1.0,Aoki_1108_65_100_0201_135
-3.3957743644714355,1.0,Aoki_1108_65_100_0201_150
-4.630844593048096,0.0,Aoki_1108_65_100_0202_120
-3.2018473148345947,0.0,Aoki_1108_65_100_0202_135
-2.05655837059021,1.0,Aoki_1108_65_100_0202_150
-4.197267055511475,0.0,Aoki_1108_65_100_0203_120
-3.236365795135498,1.0,Aoki_1108_65_100_0203_135
-1.8525701761245728,1.0,Aoki_1108_65_100_0203_150
