output,target,name
-9.121034622192383,0.0,Aoki_1108_65_100_0000_120
-8.328824996948242,0.0,Aoki_1108_65_100_0000_135
-7.009443283081055,0.0,Aoki_1108_65_100_0000_150
-8.576240539550781,0.0,Aoki_1108_65_100_0001_120
-7.179051399230957,0.0,Aoki_1108_65_100_0001_135
-6.395715713500977,0.0,Aoki_1108_65_100_0001_150
-7.5498456954956055,0.0,Aoki_1108_65_100_0002_120
-6.617886543273926,0.0,Aoki_1108_65_100_0002_135
-5.906479835510254,0.0,Aoki_1108_65_100_0002_150
-6.958383560180664,0.0,Aoki_1108_65_100_0003_120
-6.180536270141602,0.0,Aoki_1108_65_100_0003_135
-5.666661262512207,0.0,Aoki_1108_65_100_0003_150
-6.720272064208984,0.0,Aoki_1108_65_100_0004_120
-5.752067565917969,0.0,Aoki_1108_65_100_0004_135
-6.161174774169922,0.0,Aoki_1108_65_100_0004_150
-10.898063659667969,0.0,Aoki_1108_65_100_0100_120
-8.611225128173828,0.0,Aoki_1108_65_100_0100_135
-5.6245317459106445,1.0,Aoki_1108_65_100_0100_150
-9.826054573059082,0.0,Aoki_1108_65_100_0101_120
-8.301750183105469,0.0,Aoki_1108_65_100_0101_135
-5.8109025955200195,1.0,Aoki_1108_65_100_0101_150
-7.459800720214844,0.0,Aoki_1108_65_100_0102_120
-6.3140153884887695,0.0,Aoki_1108_65_100_0102_135
-5.855842590332031,0.0,Aoki_1108_65_100_0102_150
-6.406007766723633,0.0,Aoki_1108_65_100_0103_120
-6.095982551574707,0.0,Aoki_1108_65_100_0103_135
-5.866065979003906,0.0,Aoki_1108_65_100_0103_150
-5.771679878234863,0.0,Aoki_1108_65_100_0104_120
-5.255861282348633,0.0,Aoki_1108_65_100_0104_135
-5.378057479858398,0.0,Aoki_1108_65_100_0104_150
-10.996278762817383,0.0,Aoki_1108_65_100_0200_120
-7.729097366333008,1.0,Aoki_1108_65_100_0200_135
-3.3039073944091797,1.0,Aoki_1108_65_100_0200_150
-10.17106819152832,0.0,Aoki_1108_65_100_0201_120
-7.975429534912109,1.0,Aoki_1108_65_100_0201_135
-4.117694854736328,1.0,Aoki_1108_65_100_0201_150
-6.359064102172852,0.0,Aoki_1108_65_100_0202_120
-5.274798393249512,0.0,Aoki_1108_65_100_0202_135
-2.45388126373291,1.0,Aoki_1108_65_100_0202_150
-4.656521797180176,0.0,Aoki_1108_65_100_0203_120
-4.433177947998047,1.0,Aoki_1108_65_100_0203_135
-1.3606756925582886,1.0,Aoki_1108_65_100_0203_150
-3.2434964179992676,0.0,Aoki_1108_65_100_0204_120
-2.775904893875122,1.0,Aoki_1108_65_100_0204_135
