output,target,name
-25.712825775146484,0.0,Aoki_1108_65_100_0000_120
-15.117469787597656,0.0,Aoki_1108_65_100_0000_135
-6.899670124053955,0.0,Aoki_1108_65_100_0000_150
-20.684864044189453,0.0,Aoki_1108_65_100_0001_120
-9.287923812866211,0.0,Aoki_1108_65_100_0001_135
-4.734057903289795,0.0,Aoki_1108_65_100_0001_150
-18.432857513427734,0.0,Aoki_1108_65_100_0002_120
-10.720355987548828,0.0,Aoki_1108_65_100_0002_135
-10.665360450744629,0.0,Aoki_1108_65_100_0002_150
-18.021921157836914,0.0,Aoki_1108_65_100_0003_120
-13.738551139831543,0.0,Aoki_1108_65_100_0003_135
-17.0244083404541,0.0,Aoki_1108_65_100_0003_150
-21.922203063964844,0.0,Aoki_1108_65_100_0004_120
-24.20441246032715,0.0,Aoki_1108_65_100_0004_135
-19.673738479614258,0.0,Aoki_1108_65_100_0004_150
-22.30499839782715,0.0,Aoki_1108_65_100_0100_120
-4.021679878234863,0.0,Aoki_1108_65_100_0100_135
-1.5999454259872437,1.0,Aoki_1108_65_100_0100_150
-18.341920852661133,0.0,Aoki_1108_65_100_0101_120
-1.3298169374465942,0.0,Aoki_1108_65_100_0101_135
-3.343663215637207,1.0,Aoki_1108_65_100_0101_150
-16.7269287109375,0.0,Aoki_1108_65_100_0102_120
-6.429967880249023,0.0,Aoki_1108_65_100_0102_135
-4.57553243637085,0.0,Aoki_1108_65_100_0102_150
-17.78928565979004,0.0,Aoki_1108_65_100_0103_120
-13.167049407958984,0.0,Aoki_1108_65_100_0103_135
-2.875623941421509,0.0,Aoki_1108_65_100_0103_150
-13.018184661865234,0.0,Aoki_1108_65_100_0104_120
-17.047868728637695,0.0,Aoki_1108_65_100_0104_135
-2.9391212463378906,0.0,Aoki_1108_65_100_0104_150
-20.019325256347656,0.0,Aoki_1108_65_100_0200_120
-4.532571792602539,1.0,Aoki_1108_65_100_0200_135
-0.553564190864563,1.0,Aoki_1108_65_100_0200_150
-16.033287048339844,0.0,Aoki_1108_65_100_0201_120
-1.7076268196105957,1.0,Aoki_1108_65_100_0201_135
-2.5023703575134277,1.0,Aoki_1108_65_100_0201_150
-17.900487899780273,0.0,Aoki_1108_65_100_0202_120
-7.46593713760376,0.0,Aoki_1108_65_100_0202_135
0.1708834022283554,1.0,Aoki_1108_65_100_0202_150
-10.036585807800293,0.0,Aoki_1108_65_100_0203_120
-3.0619759559631348,1.0,Aoki_1108_65_100_0203_135
3.3559012413024902,1.0,Aoki_1108_65_100_0203_150
-2.704442024230957,0.0,Aoki_1108_65_100_0204_120
3.147820234298706,1.0,Aoki_1108_65_100_0204_135
4.927267074584961,0.0,Aoki_1108_65_100_0204_150
-21.844745635986328,0.0,Aoki_1108_65_100_0300_120
-11.00989818572998,0.0,Aoki_1108_65_100_0300_135
-5.435125827789307,1.0,Aoki_1108_65_100_0300_150
-13.151744842529297,0.0,Aoki_1108_65_100_0301_120
-10.396952629089355,1.0,Aoki_1108_65_100_0301_135
-3.033729314804077,1.0,Aoki_1108_65_100_0301_150
-12.515252113342285,1.0,Aoki_1108_65_100_0302_120
-5.63696813583374,1.0,Aoki_1108_65_100_0302_135
-0.3648931086063385,1.0,Aoki_1108_65_100_0302_150
-13.439315795898438,1.0,Aoki_1108_65_100_0303_120
-6.758233070373535,1.0,Aoki_1108_65_100_0303_135
6.406996726989746,1.0,Aoki_1108_65_100_0303_150
-2.1222033500671387,0.0,Aoki_1108_65_100_0304_120
-0.6743636727333069,0.0,Aoki_1108_65_100_0304_135
1.5568445920944214,0.0,Aoki_1108_65_100_0304_150
-17.83696174621582,0.0,Aoki_1108_65_100_0400_120
-10.65034008026123,0.0,Aoki_1108_65_100_0400_135
-11.635295867919922,1.0,Aoki_1108_65_100_0400_150
-11.26855182647705,0.0,Aoki_1108_65_100_0401_120
-10.091536521911621,1.0,Aoki_1108_65_100_0401_135
-10.478034019470215,1.0,Aoki_1108_65_100_0401_150
-9.608184814453125,1.0,Aoki_1108_65_100_0402_120
-9.81738567352295,1.0,Aoki_1108_65_100_0402_135
-1.1865352392196655,1.0,Aoki_1108_65_100_0402_150
-9.053874969482422,0.0,Aoki_1108_65_100_0403_120
-7.857600212097168,0.0,Aoki_1108_65_100_0403_135
-3.234037399291992,0.0,Aoki_1108_65_100_0403_150
-0.18154962360858917,0.0,Aoki_1108_65_100_0404_120
5.078595161437988,0.0,Aoki_1108_65_100_0404_135
4.3003621101379395,0.0,Aoki_1108_65_100_0404_150
-15.574459075927734,0.0,Aoki_1108_65_100_0500_120
-14.448823928833008,0.0,Aoki_1108_65_100_0500_135
-15.175389289855957,0.0,Aoki_1108_65_100_0500_150
-15.324897766113281,1.0,Aoki_1108_65_100_0501_120
-11.467544555664062,0.0,Aoki_1108_65_100_0501_135
-13.340901374816895,0.0,Aoki_1108_65_100_0501_150
-10.802985191345215,0.0,Aoki_1108_65_100_0502_120
-13.973563194274902,0.0,Aoki_1108_65_100_0502_135
-14.512843132019043,1.0,Aoki_1108_65_100_0502_150
-12.605774879455566,0.0,Aoki_1108_65_100_0503_120
-6.783989906311035,0.0,Aoki_1108_65_100_0503_135
