output,target,name
-5.261250972747803,0.0,Aoki_1108_65_100_0000_120
-4.851730823516846,0.0,Aoki_1108_65_100_0000_135
-3.983483076095581,0.0,Aoki_1108_65_100_0000_150
-4.6856160163879395,0.0,Aoki_1108_65_100_0001_120
-4.276439666748047,0.0,Aoki_1108_65_100_0001_135
-3.5497891902923584,0.0,Aoki_1108_65_100_0001_150
-4.466390132904053,0.0,Aoki_1108_65_100_0002_120
-4.157430648803711,0.0,Aoki_1108_65_100_0002_135
-3.610959768295288,0.0,Aoki_1108_65_100_0002_150
-4.421224117279053,0.0,Aoki_1108_65_100_0003_120
-4.1731462478637695,0.0,Aoki_1108_65_100_0003_135
-3.6113953590393066,0.0,Aoki_1108_65_100_0003_150
-4.493691444396973,0.0,Aoki_1108_65_100_0004_120
-4.325075149536133,0.0,Aoki_1108_65_100_0004_135
-4.103156566619873,0.0,Aoki_1108_65_100_0004_150
-4.923417568206787,0.0,Aoki_1108_65_100_0100_120
-4.124050617218018,0.0,Aoki_1108_65_100_0100_135
-3.7532689571380615,1.0,Aoki_1108_65_100_0100_150
-4.646560192108154,0.0,Aoki_1108_65_100_0101_120
-4.225818157196045,0.0,Aoki_1108_65_100_0101_135
-3.702579975128174,1.0,Aoki_1108_65_100_0101_150
-4.049672603607178,0.0,Aoki_1108_65_100_0102_120
-4.05730676651001,0.0,Aoki_1108_65_100_0102_135
-3.810030221939087,0.0,Aoki_1108_65_100_0102_150
-3.989352226257324,0.0,Aoki_1108_65_100_0103_120
-3.8471243381500244,0.0,Aoki_1108_65_100_0103_135
-3.7602107524871826,0.0,Aoki_1108_65_100_0103_150
-3.8183605670928955,0.0,Aoki_1108_65_100_0104_120
-3.6565334796905518,0.0,Aoki_1108_65_100_0104_135
-3.6106455326080322,0.0,Aoki_1108_65_100_0104_150
-4.955047607421875,0.0,Aoki_1108_65_100_0200_120
-3.999878406524658,1.0,Aoki_1108_65_100_0200_135
-3.54967999458313,1.0,Aoki_1108_65_100_0200_150
-4.69548225402832,0.0,Aoki_1108_65_100_0201_120
-3.9903018474578857,1.0,Aoki_1108_65_100_0201_135
-3.507905960083008,1.0,Aoki_1108_65_100_0201_150
-4.42947244644165,0.0,Aoki_1108_65_100_0202_120
-3.7667152881622314,0.0,Aoki_1108_65_100_0202_135
-3.039647340774536,1.0,Aoki_1108_65_100_0202_150
-3.9861257076263428,0.0,Aoki_1108_65_100_0203_120
-3.221693754196167,1.0,Aoki_1108_65_100_0203_135
-2.8715405464172363,1.0,Aoki_1108_65_100_0203_150
-3.550785779953003,0.0,Aoki_1108_65_100_0204_120
-3.2800557613372803,1.0,Aoki_1108_65_100_0204_135
-2.8048055171966553,0.0,Aoki_1108_65_100_0204_150
-5.625107288360596,0.0,Aoki_1108_65_100_0300_120
-4.9713921546936035,0.0,Aoki_1108_65_100_0300_135
-3.486046075820923,1.0,Aoki_1108_65_100_0300_150
-4.60241174697876,0.0,Aoki_1108_65_100_0301_120
-4.256964683532715,1.0,Aoki_1108_65_100_0301_135
-3.086045265197754,1.0,Aoki_1108_65_100_0301_150
-4.265075206756592,1.0,Aoki_1108_65_100_0302_120
-3.24829363822937,1.0,Aoki_1108_65_100_0302_135
-2.6954729557037354,1.0,Aoki_1108_65_100_0302_150
-4.123833656311035,1.0,Aoki_1108_65_100_0303_120
-3.087462902069092,1.0,Aoki_1108_65_100_0303_135
-3.0385735034942627,1.0,Aoki_1108_65_100_0303_150
-3.213444232940674,0.0,Aoki_1108_65_100_0304_120
-2.9834177494049072,0.0,Aoki_1108_65_100_0304_135
-2.9078330993652344,0.0,Aoki_1108_65_100_0304_150
-5.343290328979492,0.0,Aoki_1108_65_100_0400_120
-4.981043338775635,0.0,Aoki_1108_65_100_0400_135
-3.7996745109558105,1.0,Aoki_1108_65_100_0400_150
-4.706303596496582,0.0,Aoki_1108_65_100_0401_120
-4.754933834075928,1.0,Aoki_1108_65_100_0401_135
-3.3663337230682373,1.0,Aoki_1108_65_100_0401_150
-4.287525177001953,1.0,Aoki_1108_65_100_0402_120
-4.3616204261779785,1.0,Aoki_1108_65_100_0402_135
-3.262969970703125,1.0,Aoki_1108_65_100_0402_150
-3.4023358821868896,0.0,Aoki_1108_65_100_0403_120
-3.1852974891662598,0.0,Aoki_1108_65_100_0403_135
-2.837803602218628,0.0,Aoki_1108_65_100_0403_150
-3.0233240127563477,0.0,Aoki_1108_65_100_0404_120
-3.386882781982422,0.0,Aoki_1108_65_100_0404_135
-3.6388309001922607,0.0,Aoki_1108_65_100_0404_150
-4.75022029876709,0.0,Aoki_1108_65_100_0500_120
-4.949774265289307,0.0,Aoki_1108_65_100_0500_135
-3.6435794830322266,0.0,Aoki_1108_65_100_0500_150
-4.843608856201172,1.0,Aoki_1108_65_100_0501_120
-4.777756214141846,0.0,Aoki_1108_65_100_0501_135
-3.218477487564087,0.0,Aoki_1108_65_100_0501_150
-4.654702186584473,0.0,Aoki_1108_65_100_0502_120
-4.4760589599609375,0.0,Aoki_1108_65_100_0502_135
-3.265113115310669,1.0,Aoki_1108_65_100_0502_150
-4.284533500671387,0.0,Aoki_1108_65_100_0503_120
