output,target,name
-6.8931965827941895,0.0,Aoki_1108_65_100_0000_120
-5.059925079345703,0.0,Aoki_1108_65_100_0000_135
-0.5410577058792114,0.0,Aoki_1108_65_100_0000_150
-7.465744972229004,0.0,Aoki_1108_65_100_0001_120
-5.880279541015625,0.0,Aoki_1108_65_100_0001_135
-1.5107524394989014,0.0,Aoki_1108_65_100_0001_150
-7.258871078491211,0.0,Aoki_1108_65_100_0002_120
-6.241332530975342,0.0,Aoki_1108_65_100_0002_135
-2.951732873916626,0.0,Aoki_1108_65_100_0002_150
-7.3430891036987305,0.0,Aoki_1108_65_100_0003_120
-6.597291946411133,0.0,Aoki_1108_65_100_0003_135
-3.314134359359741,0.0,Aoki_1108_65_100_0003_150
-8.719433784484863,0.0,Aoki_1108_65_100_0004_120
-7.609432697296143,0.0,Aoki_1108_65_100_0004_135
-4.720775127410889,0.0,Aoki_1108_65_100_0004_150
-4.097799777984619,0.0,Aoki_1108_65_100_0100_120
-3.448741912841797,0.0,Aoki_1108_65_100_0100_135
-2.4117136001586914,1.0,Aoki_1108_65_100_0100_150
-5.21021032333374,0.0,Aoki_1108_65_100_0101_120
-4.241768836975098,0.0,Aoki_1108_65_100_0101_135
0.6956793069839478,1.0,Aoki_1108_65_100_0101_150
-4.431024551391602,0.0,Aoki_1108_65_100_0102_120
-4.209407329559326,0.0,Aoki_1108_65_100_0102_135
-1.6782954931259155,0.0,Aoki_1108_65_100_0102_150
-6.2626566886901855,0.0,Aoki_1108_65_100_0103_120
-5.865345001220703,0.0,Aoki_1108_65_100_0103_135
-4.764489650726318,0.0,Aoki_1108_65_100_0103_150
-5.421515941619873,0.0,Aoki_1108_65_100_0104_120
-6.803290367126465,0.0,Aoki_1108_65_100_0104_135
-4.6489057540893555,0.0,Aoki_1108_65_100_0104_150
-5.268377780914307,0.0,Aoki_1108_65_100_0200_120
-3.258199453353882,1.0,Aoki_1108_65_100_0200_135
-1.4970117807388306,1.0,Aoki_1108_65_100_0200_150
-3.615539789199829,0.0,Aoki_1108_65_100_0201_120
-2.5758516788482666,1.0,Aoki_1108_65_100_0201_135
-1.9806723594665527,1.0,Aoki_1108_65_100_0201_150
-3.362525463104248,0.0,Aoki_1108_65_100_0202_120
-2.453211784362793,0.0,Aoki_1108_65_100_0202_135
-1.0932013988494873,1.0,Aoki_1108_65_100_0202_150
-4.271676540374756,0.0,Aoki_1108_65_100_0203_120
-3.7144272327423096,1.0,Aoki_1108_65_100_0203_135
-0.3557555377483368,1.0,Aoki_1108_65_100_0203_150
-4.80620002746582,0.0,Aoki_1108_65_100_0204_120
-5.094160556793213,1.0,Aoki_1108_65_100_0204_135
-2.1163408756256104,0.0,Aoki_1108_65_100_0204_150
-7.825430393218994,0.0,Aoki_1108_65_100_0300_120
-5.718883037567139,0.0,Aoki_1108_65_100_0300_135
-2.167414665222168,1.0,Aoki_1108_65_100_0300_150
-4.508447647094727,0.0,Aoki_1108_65_100_0301_120
-2.2881886959075928,1.0,Aoki_1108_65_100_0301_135
0.0862542912364006,1.0,Aoki_1108_65_100_0301_150
-4.885045051574707,1.0,Aoki_1108_65_100_0302_120
0.0786607414484024,1.0,Aoki_1108_65_100_0302_135
2.6413865089416504,1.0,Aoki_1108_65_100_0302_150
-4.294938087463379,1.0,Aoki_1108_65_100_0303_120
-0.16603338718414307,1.0,Aoki_1108_65_100_0303_135
0.15240538120269775,1.0,Aoki_1108_65_100_0303_150
-4.450616359710693,0.0,Aoki_1108_65_100_0304_120
-2.9113872051239014,0.0,Aoki_1108_65_100_0304_135
-0.7936704754829407,0.0,Aoki_1108_65_100_0304_150
-8.2435941696167,0.0,Aoki_1108_65_100_0400_120
-6.179495334625244,0.0,Aoki_1108_65_100_0400_135
-3.4923512935638428,1.0,Aoki_1108_65_100_0400_150
-5.443146705627441,0.0,Aoki_1108_65_100_0401_120
-5.214852809906006,1.0,Aoki_1108_65_100_0401_135
-3.8087048530578613,1.0,Aoki_1108_65_100_0401_150
-4.794859886169434,1.0,Aoki_1108_65_100_0402_120
-2.7986910343170166,1.0,Aoki_1108_65_100_0402_135
-2.1605491638183594,1.0,Aoki_1108_65_100_0402_150
-3.036276340484619,0.0,Aoki_1108_65_100_0403_120
-0.5530179142951965,0.0,Aoki_1108_65_100_0403_135
0.6777215003967285,0.0,Aoki_1108_65_100_0403_150
-2.8991029262542725,0.0,Aoki_1108_65_100_0404_120
-0.47141435742378235,0.0,Aoki_1108_65_100_0404_135
-2.800967216491699,0.0,Aoki_1108_65_100_0404_150
-5.944131374359131,0.0,Aoki_1108_65_100_0500_120
-4.359177589416504,0.0,Aoki_1108_65_100_0500_135
-3.4827470779418945,0.0,Aoki_1108_65_100_0500_150
-6.869474411010742,1.0,Aoki_1108_65_100_0501_120
-6.386316776275635,0.0,Aoki_1108_65_100_0501_135
-2.763678550720215,0.0,Aoki_1108_65_100_0501_150
-6.253974914550781,0.0,Aoki_1108_65_100_0502_120
-4.822747230529785,0.0,Aoki_1108_65_100_0502_135
-4.143589019775391,1.0,Aoki_1108_65_100_0502_150
-4.107227802276611,0.0,Aoki_1108_65_100_0503_120
-4.0792388916015625,0.0,Aoki_1108_65_100_0503_135
-3.9765124320983887,0.0,Aoki_1108_65_100_0503_150
-3.161499261856079,0.0,Aoki_1108_65_100_0504_120
-2.324829339981079,0.0,Aoki_1108_65_100_0504_135
-4.351092338562012,0.0,Aoki_1108_65_100_0504_150
-5.425907611846924,0.0,Aoki_1108_65_100_0600_120
-6.3541789054870605,0.0,Aoki_1108_65_100_0600_135
-7.03696870803833,0.0,Aoki_1108_65_100_0600_150
-7.160789966583252,0.0,Aoki_1108_65_100_0601_120
-3.3984375,1.0,Aoki_1108_65_100_0601_135
-4.723995685577393,0.0,Aoki_1108_65_100_0601_150
-6.498946666717529,0.0,Aoki_1108_65_100_0602_120
-5.2461934089660645,0.0,Aoki_1108_65_100_0602_135
-3.202410936355591,0.0,Aoki_1108_65_100_0602_150
-5.965961456298828,0.0,Aoki_1108_65_100_0603_120
-3.62471079826355,0.0,Aoki_1108_65_100_0603_135
-4.227449893951416,0.0,Aoki_1108_65_100_0603_150
-3.4771759510040283,0.0,Aoki_1108_65_100_0604_120
-4.842512607574463,0.0,Aoki_1108_65_100_0604_135
-4.8383636474609375,0.0,Aoki_1108_65_100_0604_150
-5.97584342956543,0.0,Aoki_1108_65_100_0700_120
-8.245530128479004,0.0,Aoki_1108_65_100_0700_135
-8.164678573608398,0.0,Aoki_1108_65_100_0700_150
-6.255210876464844,0.0,Aoki_1108_65_100_0701_120
-7.636298656463623,0.0,Aoki_1108_65_100_0701_135
-7.727024555206299,0.0,Aoki_1108_65_100_0701_150
-7.179228782653809,0.0,Aoki_1108_65_100_0702_120
-5.551663875579834,0.0,Aoki_1108_65_100_0702_135
-7.689449787139893,0.0,Aoki_1108_65_100_0702_150
-7.902297019958496,0.0,Aoki_1108_65_100_0703_120
