output,target,name
-6.521799564361572,0.0,Teragiwa_1107_62_100_0000_120
-6.689557075500488,0.0,Teragiwa_1107_62_100_0000_135
-6.299564838409424,0.0,Teragiwa_1107_62_100_0000_150
-6.210546493530273,0.0,Teragiwa_1107_62_100_0001_120
-6.555721282958984,0.0,Teragiwa_1107_62_100_0001_135
-6.329568862915039,0.0,Teragiwa_1107_62_100_0001_150
-6.368801593780518,0.0,Teragiwa_1107_62_100_0002_120
-6.323971271514893,0.0,Teragiwa_1107_62_100_0002_135
-6.072368621826172,0.0,Teragiwa_1107_62_100_0002_150
-6.5325775146484375,0.0,Teragiwa_1107_62_100_0003_120
-6.463163375854492,0.0,Teragiwa_1107_62_100_0003_135
-6.4502692222595215,0.0,Teragiwa_1107_62_100_0003_150
-6.076883316040039,0.0,Teragiwa_1107_62_100_0004_120
-6.473186016082764,0.0,Teragiwa_1107_62_100_0004_135
-6.774508953094482,0.0,Teragiwa_1107_62_100_0004_150
-6.515005588531494,0.0,Teragiwa_1107_62_100_0100_120
-6.093687057495117,0.0,Teragiwa_1107_62_100_0100_135
-5.7475104331970215,0.0,Teragiwa_1107_62_100_0100_150
-6.144545555114746,0.0,Teragiwa_1107_62_100_0101_120
-5.875077724456787,0.0,Teragiwa_1107_62_100_0101_135
-5.594882488250732,0.0,Teragiwa_1107_62_100_0101_150
-6.241624355316162,0.0,Teragiwa_1107_62_100_0102_120
-5.792403697967529,0.0,Teragiwa_1107_62_100_0102_135
-5.603175163269043,0.0,Teragiwa_1107_62_100_0102_150
-5.548750877380371,0.0,Teragiwa_1107_62_100_0103_120
-5.136867523193359,0.0,Teragiwa_1107_62_100_0103_135
-4.840579986572266,0.0,Teragiwa_1107_62_100_0103_150
-5.761097431182861,0.0,Teragiwa_1107_62_100_0104_120
-4.357668876647949,0.0,Teragiwa_1107_62_100_0104_135
-4.424929618835449,0.0,Teragiwa_1107_62_100_0104_150
-5.1083831787109375,0.0,Teragiwa_1107_62_100_0200_120
-3.521456480026245,0.0,Teragiwa_1107_62_100_0200_135
-2.6305837631225586,0.0,Teragiwa_1107_62_100_0200_150
-4.056920528411865,0.0,Teragiwa_1107_62_100_0201_120
-2.486504554748535,0.0,Teragiwa_1107_62_100_0201_135
-1.155103087425232,0.0,Teragiwa_1107_62_100_0201_150
-2.9395177364349365,1.0,Teragiwa_1107_62_100_0202_120
-1.4804075956344604,0.0,Teragiwa_1107_62_100_0202_135
-0.9718990325927734,1.0,Teragiwa_1107_62_100_0202_150
-2.899773597717285,0.0,Teragiwa_1107_62_100_0203_120
-1.680082082748413,1.0,Teragiwa_1107_62_100_0203_135
-1.5429255962371826,1.0,Teragiwa_1107_62_100_0203_150
-4.318436145782471,0.0,Teragiwa_1107_62_100_0204_120
-3.058537721633911,0.0,Teragiwa_1107_62_100_0204_135
-2.35834002494812,0.0,Teragiwa_1107_62_100_0204_150
-3.281994342803955,0.0,Teragiwa_1107_62_100_0300_120
-1.9078165292739868,0.0,Teragiwa_1107_62_100_0300_135
-1.120057225227356,0.0,Teragiwa_1107_62_100_0300_150
-3.161248207092285,0.0,Teragiwa_1107_62_100_0301_120
-1.5862922668457031,0.0,Teragiwa_1107_62_100_0301_135
-0.011761890724301338,1.0,Teragiwa_1107_62_100_0301_150
-2.3010573387145996,1.0,Teragiwa_1107_62_100_0302_120
-0.5290840268135071,1.0,Teragiwa_1107_62_100_0302_135
0.6991984248161316,1.0,Teragiwa_1107_62_100_0302_150
-1.9591988325119019,1.0,Teragiwa_1107_62_100_0303_120
-0.8346269130706787,1.0,Teragiwa_1107_62_100_0303_135
-0.5961706638336182,0.0,Teragiwa_1107_62_100_0303_150
-2.193119764328003,1.0,Teragiwa_1107_62_100_0304_120
-1.534114956855774,0.0,Teragiwa_1107_62_100_0304_135
-0.22617904841899872,1.0,Teragiwa_1107_62_100_0304_150
-2.779891014099121,0.0,Teragiwa_1107_62_100_0400_120
-1.464556336402893,0.0,Teragiwa_1107_62_100_0400_135
-1.3191014528274536,0.0,Teragiwa_1107_62_100_0400_150
-2.6969947814941406,1.0,Teragiwa_1107_62_100_0401_120
-0.9322046041488647,1.0,Teragiwa_1107_62_100_0401_135
-0.02110680192708969,1.0,Teragiwa_1107_62_100_0401_150
-2.612097978591919,1.0,Teragiwa_1107_62_100_0402_120
-0.732338547706604,1.0,Teragiwa_1107_62_100_0402_135
-0.005758943036198616,1.0,Teragiwa_1107_62_100_0402_150
-2.7303860187530518,1.0,Teragiwa_1107_62_100_0403_120
-0.4721386730670929,1.0,Teragiwa_1107_62_100_0403_135
0.8057717084884644,1.0,Teragiwa_1107_62_100_0403_150
-2.246319055557251,1.0,Teragiwa_1107_62_100_0404_120
-1.2590521574020386,1.0,Teragiwa_1107_62_100_0404_135
-0.6028261780738831,1.0,Teragiwa_1107_62_100_0404_150
